"ID番号","PCD-400A"
"タイトル",""
"試験日時","2023/06/27","14:28:01"
"測定CH数",2
"デジタル入力","OFF"
"サンプリング周波数(Hz)",500
"集録データ数/CH",2300
"測定時間(sec)",4.6
"CH名称"
"CH No","CH1","CH2"
"レンジ",1000,1000
"校正係数",0.01559,0.01498
"オフセット",0,0
"単位","m/s2","m/s2"
0.000,-0.13527747195122,-0.115925104878049
0.002,-0.134621551219512,-0.115219948780488
0.004,-0.134682390243902,-0.114925829268293
0.006,-0.136743312195122,-0.113966743902439
0.008,-0.1395305,-0.1136982
0.010,-0.140017212195122,-0.114085487804878
0.012,-0.140313802439024,-0.115112165853659
0.014,-0.142351909756098,-0.118321904878049
0.016,-0.145314009756098,-0.120914175609756
0.018,-0.148137320731707,-0.122103441463415
0.020,-0.14687491097561,-0.12202306097561
0.022,-0.143498345121951,-0.121568180487805
0.024,-0.139973484146341,-0.122655143902439
0.026,-0.13778137804878,-0.124553219512195
0.028,-0.136547486585366,-0.126213807317073
0.030,-0.133861063414634,-0.127392112195122
0.032,-0.129950254878049,-0.128458980487805
0.034,-0.127311362195122,-0.129591614634146
0.036,-0.126752403658537,-0.130680404878049
0.038,-0.128954015853659,-0.130833858536585
0.040,-0.129533887804878,-0.131325275609756
0.042,-0.128176417073171,-0.131296046341463
0.044,-0.127250523170732,-0.130472146341463
0.046,-0.126940624390244,-0.130316865853659
0.048,-0.126881686585366,-0.131950051219512
0.050,-0.124839776829268,-0.133111914634146
0.052,-0.121968935365854,-0.134352331707317
0.054,-0.119523967073171,-0.135154309756098
0.056,-0.117246306097561,-0.134739619512195
0.058,-0.116347029268293,-0.133597851219512
0.060,-0.114772819512195,-0.13340786097561
0.062,-0.11322712804878,-0.133751304878049
0.064,-0.115778564634146,-0.134268297560976
0.066,-0.119879495121951,-0.13416782195122
0.068,-0.124299830487805,-0.13431762195122
0.070,-0.126098384146341,-0.134726831707317
0.072,-0.126497640243902,-0.134635490243902
0.074,-0.129151742682927,-0.135181712195122
0.076,-0.132572036585366,-0.135892348780488
0.078,-0.134817376829268,-0.13505566097561
0.080,-0.134262220731707,-0.133891970731707
0.082,-0.133705163414634,-0.132889041463415
0.084,-0.133815434146341,-0.132741068292683
0.086,-0.134389602439024,-0.1327228
0.088,-0.136870693902439,-0.1329475
0.090,-0.139163564634146,-0.132580307317073
0.092,-0.140789107317073,-0.13113893902439
0.094,-0.143087681707317,-0.129819968292683
0.096,-0.145169517073171,-0.128795117073171
0.098,-0.146873009756098,-0.127991312195122
0.100,-0.144855815853659,-0.12723317804878
0.102,-0.140098964634146,-0.127213082926829
0.104,-0.13649045,-0.127594890243902
0.106,-0.13539915,-0.127709980487805
0.108,-0.136216674390244,-0.129125773170732
0.110,-0.136739509756098,-0.129233556097561
0.112,-0.136410598780488,-0.128312834146341
0.114,-0.137553231707317,-0.128106402439024
0.116,-0.13934037804878,-0.128610607317073
0.118,-0.142912769512195,-0.129304802439024
0.120,-0.146150546341463,-0.128906553658537
0.122,-0.146118225609756,-0.128283604878049
0.124,-0.144561126829268,-0.128104575609756
0.126,-0.143007830487805,-0.128954051219512
0.128,-0.143842465853659,-0.129460082926829
0.130,-0.14559348902439,-0.13027302195122
0.132,-0.145036431707317,-0.131489690243902
0.134,-0.142376625609756,-0.132788565853659
0.136,-0.14096782195122,-0.134368773170732
0.138,-0.141260609756098,-0.135461217073171
0.140,-0.141931740243902,-0.134297526829268
0.142,-0.141097104878049,-0.132943846341463
0.144,-0.138100782926829,-0.132841543902439
0.146,-0.137258542682927,-0.133055282926829
0.148,-0.139895534146341,-0.134551456097561
0.150,-0.139718720731707,-0.136602985365854
0.152,-0.136562696341463,-0.137953012195122
0.154,-0.133777409756098,-0.138623458536585
0.156,-0.132058707317073,-0.13910026097561
0.158,-0.131923720731707,-0.139697634146341
0.160,-0.129020558536585,-0.140324236585366
0.162,-0.123026013414634,-0.141513502439024
0.164,-0.118061929268293,-0.14345542195122
0.166,-0.115204396341463,-0.144419987804878
0.168,-0.116166413414634,-0.143875592682927
0.170,-0.116634113414634,-0.142613253658537
0.172,-0.115577035365854,-0.141553692682927
0.174,-0.115483875609756,-0.141741856097561
0.176,-0.117320453658537,-0.141798487804878
0.178,-0.119976457317073,-0.141729068292683
0.180,-0.122835891463415,-0.142176641463415
0.182,-0.123341615853659,-0.142472587804878
0.184,-0.124904418292683,-0.142183948780488
0.186,-0.128077553658537,-0.140764502439024
0.188,-0.13091227195122,-0.139259195121951
0.190,-0.133853458536585,-0.137710043902439
0.192,-0.137153975609756,-0.136091473170732
0.194,-0.140779601219512,-0.133764092682927
0.196,-0.144871025609756,-0.13083933902439
0.198,-0.147015601219512,-0.128683680487805
0.200,-0.146777948780488,-0.127836031707317
0.202,-0.145424280487805,-0.127269714634146
0.204,-0.145403367073171,-0.12663397804878
0.206,-0.1470137,-0.125530573170732
0.208,-0.148504256097561,-0.123829795121951
0.210,-0.147652509756098,-0.122508997560976
0.212,-0.14645093902439,-0.123354819512195
0.214,-0.146909132926829,-0.125515958536585
0.216,-0.148129715853659,-0.128042463414634
0.218,-0.147909174390244,-0.129257304878049
0.220,-0.146317853658537,-0.129390663414634
0.222,-0.144966086585366,-0.12853936097561
0.224,-0.144114340243902,-0.128150246341463
0.226,-0.143517357317073,-0.128115536585366
0.228,-0.142260651219512,-0.128208704878049
0.230,-0.139359390243902,-0.128716563414634
0.232,-0.136627337804878,-0.1298766
0.234,-0.134940956097561,-0.131507958536585
0.236,-0.133688052439024,-0.134253682926829
0.238,-0.132931367073171,-0.137724658536585
0.240,-0.132857219512195,-0.13960263902439
0.242,-0.133334425609756,-0.139898585365854
0.244,-0.134642464634146,-0.139209870731707
0.246,-0.135688135365854,-0.13902536097561
0.248,-0.13711405,-0.13951677804878
0.250,-0.138121696341463,-0.139434570731707
0.252,-0.137923969512195,-0.139372458536585
0.254,-0.1375038,-0.139412648780488
0.256,-0.135954306097561,-0.137483517073171
0.258,-0.134461848780488,-0.134843748780488
0.260,-0.132976996341463,-0.133669097560976
0.262,-0.130085241463415,-0.134286565853659
0.264,-0.128891275609756,-0.135523329268293
0.266,-0.128872263414634,-0.136630387804878
0.268,-0.129636553658537,-0.137850709756098
0.270,-0.129151742682927,-0.138278187804878
0.272,-0.126602207317073,-0.138075409756098
0.274,-0.123172407317073,-0.138787873170732
0.276,-0.121252175609756,-0.141012951219512
0.278,-0.120997412195122,-0.142605946341463
0.280,-0.121624814634146,-0.142213178048781
0.282,-0.121301607317073,-0.141922712195122
0.284,-0.121875775609756,-0.141171885365854
0.286,-0.123102062195122,-0.140402790243902
0.288,-0.1259672,-0.138835370731707
0.290,-0.128069948780488,-0.136738170731707
0.292,-0.128455896341463,-0.134944224390244
