"ID番号","PCD-400A"
"タイトル",""
"試験日時","2023/06/27","14:28:26"
"測定CH数",2
"デジタル入力","OFF"
"サンプリング周波数(Hz)",500
"集録データ数/CH",5000
"測定時間(sec)",10
"CH名称"
"CH No","CH1","CH2"
"レンジ",1000,1000
"校正係数",0.01559,0.01498
"オフセット",0,0
"単位","m/s2","m/s2"
0.000,-0.145026925609756,-0.139178814634146
0.002,-0.145426181707317,-0.141106119512195
0.004,-0.145374848780488,-0.142649790243902
0.006,-0.142521118292683,-0.144038180487805
0.008,-0.138979146341463,-0.145817512195122
0.010,-0.136556992682927,-0.146913609756098
0.012,-0.136779435365854,-0.146274219512195
0.014,-0.135140584146341,-0.14456796097561
0.016,-0.130256351219512,-0.143104670731707
0.018,-0.125957693902439,-0.143099190243902
0.020,-0.124803653658537,-0.143623490243902
0.022,-0.126425393902439,-0.143090056097561
0.024,-0.126845563414634,-0.142677192682927
0.026,-0.125626881707317,-0.142675365853659
0.028,-0.12520481097561,-0.144060102439024
0.030,-0.126940624390244,-0.145667712195122
0.032,-0.133167118292683,-0.145779148780488
0.034,-0.136792743902439,-0.143424365853659
0.036,-0.135518926829268,-0.14012693902439
0.038,-0.133604398780488,-0.138316551219512
0.040,-0.134963770731707,-0.136518951219512
0.042,-0.139602746341463,-0.133924853658537
0.044,-0.143948934146341,-0.131197397560976
0.046,-0.144840606097561,-0.131078653658537
0.048,-0.14115033902439,-0.13226243902439
0.050,-0.140863254878049,-0.132766643902439
0.052,-0.143825354878049,-0.131504304878049
0.054,-0.147901569512195,-0.12926643902439
0.056,-0.149690617073171,-0.128029675609756
0.058,-0.147460486585366,-0.127247792682927
0.060,-0.14707453902439,-0.126820314634146
0.062,-0.15073818902439,-0.12612063902439
0.064,-0.152778197560976,-0.125053770731707
0.066,-0.152869456097561,-0.125172514634146
0.068,-0.15036555,-0.126825795121951
0.070,-0.150684954878049,-0.128915687804878
0.072,-0.154173692682927,-0.130578102439024
0.074,-0.153088096341463,-0.13048676097561
0.076,-0.147270364634146,-0.130167065853659
0.078,-0.14074347804878,-0.130287636585366
0.080,-0.138621717073171,-0.131102402439024
0.082,-0.141781543902439,-0.1307005
0.084,-0.14309908902439,-0.129206153658537
0.086,-0.139830892682927,-0.128449846341463
0.088,-0.13635166097561,-0.129087409756098
0.090,-0.137355504878049,-0.130874048780488
0.092,-0.142148479268293,-0.130413687804878
0.094,-0.143112397560976,-0.128040636585366
0.096,-0.138509545121951,-0.126138907317073
0.098,-0.133518843902439,-0.126491485365854
0.100,-0.132408531707317,-0.127731902439024
0.102,-0.135748974390244,-0.129560558536585
0.104,-0.138138807317073,-0.130707807317073
0.106,-0.135640604878049,-0.131831307317073
0.108,-0.13201307804878,-0.13259492195122
0.110,-0.133478918292683,-0.13263693902439
0.112,-0.139874620731707,-0.132054180487805
0.114,-0.14434628902439,-0.131957358536585
0.116,-0.144093426829268,-0.131935436585366
0.118,-0.14266561097561,-0.131517092682927
0.120,-0.143694170731707,-0.130806456097561
0.122,-0.146006053658537,-0.12985467804878
0.124,-0.145327318292683,-0.129270092682927
0.126,-0.140323308536585,-0.129916790243902
0.128,-0.134709007317073,-0.131420270731707
0.130,-0.132978897560976,-0.134193397560976
0.132,-0.133977037804878,-0.135391797560976
0.134,-0.133201340243902,-0.134421751219512
0.136,-0.128083257317073,-0.134286565853659
0.138,-0.12390627804878,-0.134942397560976
0.140,-0.123718057317073,-0.135636592682927
0.142,-0.12520481097561,-0.136655963414634
0.144,-0.123313097560976,-0.137832441463415
0.146,-0.117809067073171,-0.138608843902439
0.148,-0.113974307317073,-0.139202563414634
0.150,-0.116489620731707,-0.139547834146341
0.152,-0.121409976829268,-0.138462697560976
0.154,-0.123510824390244,-0.13574072195122
0.156,-0.123972820731707,-0.132929231707317
0.158,-0.125387328048781,-0.130492241463415
0.160,-0.129843786585366,-0.128000446341463
0.162,-0.134918141463415,-0.124938680487805
0.164,-0.137115951219512,-0.122057770731707
0.166,-0.137138765853659,-0.119905765853659
0.168,-0.138654037804878,-0.118447956097561
0.170,-0.142962201219512,-0.118422380487805
0.172,-0.148393985365854,-0.118953987804878
0.174,-0.150479623170732,-0.119012446341463
0.176,-0.150664041463415,-0.118484492682927
0.178,-0.150032836585366,-0.117463295121951
0.180,-0.151749637804878,-0.116400080487805
0.182,-0.154236432926829,-0.114240768292683
0.184,-0.153804856097561,-0.112170970731707
0.186,-0.149939676829268,-0.111929829268293
0.188,-0.146363482926829,-0.1131739
0.190,-0.145042135365854,-0.114189617073171
0.192,-0.144975592682927,-0.114127504878049
0.194,-0.144253129268293,-0.114149426829268
0.196,-0.140473504878049,-0.114456334146341
0.198,-0.136325043902439,-0.116219224390244
0.200,-0.135465692682927,-0.117812219512195
0.202,-0.133908593902439,-0.117775682926829
0.204,-0.13131152804878,-0.117662419512195
0.206,-0.128077553658537,-0.119346756097561
0.208,-0.123835932926829,-0.122298912195122
0.210,-0.124081190243902,-0.125616434146341
0.212,-0.125761868292683,-0.127706326829268
0.214,-0.126486232926829,-0.129668341463415
0.216,-0.123588774390244,-0.13139652195122
0.218,-0.120947980487805,-0.132547424390244
0.220,-0.122562115853659,-0.133307385365854
0.222,-0.12499757804878,-0.131791117073171
0.224,-0.126453912195122,-0.130030053658537
0.226,-0.126332234146341,-0.128957704878049
0.228,-0.126659243902439,-0.12959892195122
0.230,-0.128493920731707,-0.130660309756098
0.232,-0.128628907317073,-0.130917892682927
0.234,-0.126394974390244,-0.130895970731707
0.236,-0.123847340243902,-0.130656656097561
0.238,-0.12257162195122,-0.130927026829268
0.240,-0.125927274390244,-0.131151726829268
0.242,-0.129518678048781,-0.129724973170732
0.244,-0.128993941463415,-0.128343890243902
0.246,-0.125818904878049,-0.127322692682927
0.248,-0.123596379268293,-0.126787431707317
0.250,-0.124740913414634,-0.125325968292683
0.252,-0.126678256097561,-0.122046809756098
0.254,-0.126413986585366,-0.119087346341463
0.256,-0.123446182926829,-0.11836392195122
0.258,-0.120830104878049,-0.118776785365854
0.260,-0.121288298780488,-0.117653285365854
0.262,-0.123908179268293,-0.115362441463415
0.264,-0.124704790243902,-0.113404080487805
0.266,-0.124320743902439,-0.112775651219512
0.268,-0.124710493902439,-0.113411387804878
0.270,-0.127931159756098,-0.113117268292683
0.272,-0.133720373170732,-0.111833007317073
0.274,-0.137866932926829,-0.109496492682927
0.276,-0.141195968292683,-0.108060604878049
0.278,-0.144032587804878,-0.108272517073171
0.280,-0.147846434146341,-0.108356551219512
0.282,-0.151464454878049,-0.107974743902439
