"ID番号","PCD-400A"
"タイトル",""
"試験日時","2023/06/27","14:25:18"
"測定CH数",2
"デジタル入力","OFF"
"サンプリング周波数(Hz)",500
"集録データ数/CH",5000
"測定時間(sec)",10
"CH名称"
"CH No","CH1","CH2"
"レンジ",1000,1000
"校正係数",0.01559,0.01498
"オフセット",0,0
"単位","m/s2","m/s2"
0.000,-0.726359013414634,-0.78702727804878
0.002,-0.734585590243902,-0.812270404878049
0.004,-0.740952774390244,-0.836748090243903
0.006,-0.749616631707317,-0.863905734146342
0.008,-0.761516364634146,-0.895034904878049
0.010,-0.776899131707317,-0.930875468292683
0.012,-0.791578447560976,-0.971345217073171
0.014,-0.80654865,-1.01453146097561
0.016,-0.824591223170732,-1.0602095
0.018,-0.844926667073171,-1.10760293170732
0.020,-0.865841982926829,-1.15457619268293
0.022,-0.88440358902439,-1.20145263170732
0.024,-0.898324318292683,-1.2453568195122
0.026,-0.911148043902439,-1.28410752195122
0.028,-0.923226491463415,-1.31647345609756
0.030,-0.933534903658537,-1.34364206097561
0.032,-0.940322257317073,-1.36679894878049
0.034,-0.941949701219512,-1.38501974390244
0.036,-0.939240463414634,-1.39676808292683
0.038,-0.93261091097561,-1.39841222926829
0.040,-0.922418473170732,-1.38976036585366
0.042,-0.906771436585366,-1.37357648536585
0.044,-0.883612681707317,-1.35326214390244
0.046,-0.854269259756098,-1.32989151707317
0.048,-0.81886475,-1.30466483170732
0.050,-0.781581835365854,-1.28086855365854
0.052,-0.743886356097561,-1.2627336195122
0.054,-0.705050145121951,-1.25332910243902
0.056,-0.669229268292683,-1.25414386829268
0.058,-0.639750859756098,-1.26254362926829
0.060,-0.618445793902439,-1.27371834390244
0.062,-0.606669640243902,-1.28433404878049
0.064,-0.602106713414634,-1.29480543414634
0.066,-0.604152425609756,-1.30552161463415
0.068,-0.609169743902439,-1.31493526585366
0.070,-0.613938002439024,-1.32161963414634
0.072,-0.616095886585366,-1.32131638048781
0.074,-0.611059556097561,-1.3103700195122
0.076,-0.599241575609756,-1.28615174390244
0.078,-0.583164863414634,-1.24645839756098
0.080,-0.566158454878049,-1.19003677560976
0.082,-0.549534191463415,-1.11956683658537
0.084,-0.532835780487805,-1.0393178804878
0.086,-0.517981552439024,-0.9540013
0.088,-0.509988825609756,-0.865765446341463
0.090,-0.511448962195122,-0.776126587804878
0.092,-0.520677481707317,-0.687737280487805
0.094,-0.535096330487805,-0.604700582926829
0.096,-0.552754857317073,-0.527800204878049
0.098,-0.571740435365854,-0.459991956097561
0.100,-0.590389497560976,-0.400009843902439
0.102,-0.607924445121951,-0.34617683902439
0.104,-0.620860342682927,-0.297621543902439
0.106,-0.627704732926829,-0.253114502439024
0.108,-0.627022195121951,-0.2115925
0.110,-0.620751973170732,-0.172889295121951
0.112,-0.6067628,-0.135645726829268
0.114,-0.584043226829268,-0.0995877707317073
0.116,-0.555080048780488,-0.0673314463414634
0.118,-0.519698353658537,-0.0407108902439024
0.120,-0.480027507317073,-0.0208879658536585
0.122,-0.435776623170732,-0.00834312926829268
0.124,-0.386208028048781,-0.00405190731707317
0.126,-0.333363631707317,-0.00953239512195122
0.128,-0.281699892682927,-0.0264908512195122
0.130,-0.232604701219512,-0.0546477707317073
0.132,-0.185783368292683,-0.0940597853658537
0.134,-0.141578113414634,-0.14289823902439
0.136,-0.102949135365854,-0.196309246341463
0.138,-0.0713166451219512,-0.253768507317073
0.140,-0.0469011841463415,-0.31569253902439
0.142,-0.0285449097560976,-0.380234417073171
0.144,-0.01332945,-0.447445292682927
0.146,-0.00315032073170732,-0.512878663414634
0.148,-0.000566563414634146,-0.57462183902439
0.150,-0.00572076951219512,-0.632461080487805
0.152,-0.0151470158536585,-0.684523887804878
0.154,-0.0268718365853659,-0.728080978048781
0.156,-0.0447889292682927,-0.760819585365854
0.158,-0.0693488829268293,-0.782001670731707
0.160,-0.100283625609756,-0.794446031707317
0.162,-0.136389685365854,-0.802257553658537
0.164,-0.175573819512195,-0.808101580487805
0.166,-0.215784612195122,-0.814108195121951
0.168,-0.258297781707317,-0.821411858536585
0.170,-0.304111468292683,-0.827641346341463
0.172,-0.352832119512195,-0.833118180487805
0.174,-0.406499743902439,-0.8394792
0.176,-0.465230315853659,-0.848439797560976
0.178,-0.527320342682927,-0.862546573170732
0.180,-0.592100595121951,-0.88369212195122
0.182,-0.659135693902439,-0.914514385365854
0.184,-0.72610425,-0.95391543902439
0.186,-0.792175430487805,-0.999595304878049
0.188,-0.859290380487805,-1.04913708780488
0.190,-0.924101052439024,-1.09877386585366
0.192,-0.985736687804878,-1.14962913902439
0.194,-1.04091007804878,-1.2008771804878
0.196,-1.08832459146341,-1.25211426097561
0.198,-1.12777679756098,-1.30608427804878
0.200,-1.15872294756098,-1.36234331219512
0.202,-1.18133225,-1.41858955853659
0.204,-1.19391642195122,-1.47390960243902
0.206,-1.20009538536585,-1.5264674804878
0.208,-1.20223045487805,-1.57610973902439
0.210,-1.20255556341463,-1.62239063170732
0.212,-1.20387691097561,-1.66632404878049
0.214,-1.20444727682927,-1.70741674634146
0.216,-1.20424574756098,-1.74705163414634
0.218,-1.20443396829268,-1.78663902439024
0.220,-1.20516593780488,-1.82226950243902
0.222,-1.20489026097561,-1.84311179756098
0.224,-1.20303086829268,-1.80427888780488
0.226,-1.20012580487805,-1.65373354146341
0.228,-1.17485669634146,-1.46918724878049
0.230,-1.11097191829268,-1.29998084146341
0.232,-1.02224010243902,-1.17852592439024
0.234,-0.93284476097561,-1.10341766585366
0.236,-0.867747004878049,-1.05858544878049
0.238,-0.827960184146342,-1.04753313170732
0.240,-0.81638746097561,-1.05045605853659
0.242,-0.844719434146342,-1.06379556585366
0.244,-0.912399046341463,-1.0650834804878
0.246,-1.03192491463415,-1.05666179756098
0.248,-1.17783780853659,-1.05419009756098
0.250,-1.32170308902439,-1.07021687073171
0.252,-1.41908925609756,-1.11668958048781
0.254,-1.45338155243902,-1.1841288097561
0.256,-1.426485,-1.26570404390244
0.258,-1.33494698414634,-1.34476921463415
0.260,-1.19386318780488,-1.42007477073171
0.262,-1.01200393658537,-1.49015559512195
0.264,-0.820020691463415,-1.54519248048781
0.266,-0.641555117073171,-1.57534429756098
0.268,-0.501619657317073,-1.5759654195122
0.270,-0.404347563414634,-1.55897225365854
0.272,-0.331534658536585,-1.53772440243902
0.274,-0.270570153658537,-1.52281382195122
