"ID番号","PCD-400A"
"タイトル",""
"試験日時","2023/06/27","14:28:12"
"測定CH数",2
"デジタル入力","OFF"
"サンプリング周波数(Hz)",500
"集録データ数/CH",1125
"測定時間(sec)",2.25
"CH名称"
"CH No","CH1","CH2"
"レンジ",1000,1000
"校正係数",0.01559,0.01498
"オフセット",0,0
"単位","m/s2","m/s2"
0.000,-0.115561825609756,-0.105632748780488
0.002,-0.118293878048781,-0.104480019512195
0.004,-0.121235064634146,-0.103157395121951
0.006,-0.124556495121951,-0.103418631707317
0.008,-0.127241017073171,-0.104925765853659
0.010,-0.130343807317073,-0.105864756097561
0.012,-0.133859162195122,-0.106769036585366
0.014,-0.136598819512195,-0.106641158536585
0.016,-0.138981047560976,-0.106522414634146
0.018,-0.140260568292683,-0.10569486097561
0.020,-0.140770095121951,-0.104975090243902
0.022,-0.140125581707317,-0.104997012195122
0.024,-0.139315662195122,-0.105658324390244
0.026,-0.13660262195122,-0.106292234146341
0.028,-0.133224154878049,-0.106400017073171
0.030,-0.130180302439024,-0.107715334146341
0.032,-0.125771374390244,-0.108504524390244
0.034,-0.120402330487805,-0.110055502439024
0.036,-0.116078957317073,-0.111374473170732
0.038,-0.115390715853659,-0.112267792682927
0.040,-0.118369926829268,-0.112744595121951
0.042,-0.1201989,-0.111522446341463
0.044,-0.120324380487805,-0.112351826829268
0.046,-0.118696936585366,-0.114998902439024
0.048,-0.11809425,-0.116710641463415
0.050,-0.11968747195122,-0.118206814634146
0.052,-0.120269245121951,-0.118778612195122
0.054,-0.119086686585366,-0.119852787804878
0.056,-0.117082801219512,-0.121697885365854
0.058,-0.115424937804878,-0.124365056097561
0.060,-0.117400304878049,-0.12689156097561
0.062,-0.121980342682927,-0.127788534146341
0.064,-0.123647712195122,-0.127280675609756
0.066,-0.125624980487805,-0.126264958536585
0.068,-0.127545212195122,-0.126597441463415
0.070,-0.130628990243902,-0.127614985365854
0.072,-0.134990387804878,-0.128773195121951
0.074,-0.137760464634146,-0.128382253658537
0.076,-0.138541865853659,-0.128471768292683
0.078,-0.137958191463415,-0.128784156097561
0.080,-0.137939179268293,-0.129034431707317
0.082,-0.138275695121951,-0.129122119512195
0.084,-0.136965754878049,-0.129763336585366
0.086,-0.136503758536585,-0.129100197560976
0.088,-0.135825023170732,-0.128177648780488
0.090,-0.135712851219512,-0.127662482926829
0.092,-0.135001795121951,-0.128053424390244
0.094,-0.130961703658537,-0.129204326829268
0.096,-0.128568068292683,-0.131754580487805
0.098,-0.128619401219512,-0.134288392682927
0.100,-0.131014937804878,-0.136597504878049
0.102,-0.133412375609756,-0.137618702439024
0.104,-0.1331386,-0.138203287804878
0.106,-0.13338956097561,-0.138663648780488
0.108,-0.1343858,-0.13835126097561
0.110,-0.13728706097561,-0.137784943902439
0.112,-0.139416426829268,-0.138488273170732
0.114,-0.137648292682927,-0.138457217073171
0.116,-0.135602580487805,-0.139405341463415
0.118,-0.136279414634146,-0.139136797560976
0.120,-0.138505742682927,-0.138828063414634
0.122,-0.139771954878049,-0.13858692195122
0.124,-0.13876811097561,-0.139376112195122
0.126,-0.138661642682927,-0.141339953658537
0.128,-0.140287185365854,-0.143813480487805
0.130,-0.143074373170732,-0.144381624390244
0.132,-0.144715125609756,-0.144083851219512
0.134,-0.143937526829268,-0.143908475609756
0.136,-0.144971790243902,-0.143577819512195
0.138,-0.146302643902439,-0.142752092682927
0.140,-0.148106901219512,-0.142191256097561
0.142,-0.147291278048781,-0.142348363414634
0.144,-0.143519258536585,-0.144078370731707
0.146,-0.140424073170732,-0.146586607317073
0.148,-0.141186462195122,-0.148375073170732
0.150,-0.143186545121951,-0.148983407317073
0.152,-0.141561002439024,-0.149962587804878
0.154,-0.138589396341463,-0.151508085365854
0.156,-0.138237670731707,-0.152878207317073
0.158,-0.138460113414634,-0.154608214634146
0.160,-0.139752942682927,-0.154929736585366
0.162,-0.138146412195122,-0.154902334146341
0.164,-0.137237629268293,-0.154853009756098
0.166,-0.139737732926829,-0.155039346341463
0.168,-0.145492724390244,-0.154513219512195
0.170,-0.151694502439024,-0.15325636097561
0.172,-0.153850485365854,-0.152235163414634
0.174,-0.154164186585366,-0.151298
0.176,-0.156464662195122,-0.151493470731707
0.178,-0.158670076829268,-0.151203004878049
0.180,-0.161204402439024,-0.149314063414634
0.182,-0.158476152439024,-0.147673570731707
0.184,-0.154209815853659,-0.147834331707317
0.186,-0.15141312195122,-0.149230029268293
0.188,-0.150840854878049,-0.150790141463415
0.190,-0.15242647195122,-0.151902680487805
0.192,-0.150259081707317,-0.152235163414634
0.194,-0.146709504878049,-0.153186941463415
0.196,-0.145770302439024,-0.154376207317073
0.198,-0.14681407195122,-0.155253085365854
0.200,-0.14917918902439,-0.156131790243902
0.202,-0.146690492682927,-0.156884443902439
0.204,-0.141876604878049,-0.158444556097561
0.206,-0.139165465853659,-0.160331670731707
0.208,-0.139420229268293,-0.162516558536585
0.210,-0.139865114634146,-0.164785480487805
0.212,-0.138840357317073,-0.166794992682927
0.214,-0.137450565853659,-0.167649948780488
0.216,-0.138861270731707,-0.168541441463415
0.218,-0.142062924390244,-0.168819119512195
0.220,-0.145108678048781,-0.167607931707317
0.222,-0.146506074390244,-0.16568976097561
0.224,-0.147449079268293,-0.164462131707317
0.226,-0.14989785,-0.163291134146341
0.228,-0.153236391463415,-0.16243617804878
0.230,-0.157054040243902,-0.161404019512195
0.232,-0.16032603902439,-0.159021834146341
0.234,-0.16113976097561,-0.156946556097561
0.236,-0.162320418292683,-0.154920602439024
0.238,-0.163970676829268,-0.152511014634146
0.240,-0.16667421097561,-0.150057582926829
0.242,-0.16823321097561,-0.148999848780488
0.244,-0.167214157317073,-0.149193492682927
0.246,-0.167090578048781,-0.151402129268293
0.248,-0.167307317073171,-0.155074056097561
0.250,-0.168164767073171,-0.157507392682927
0.252,-0.166744556097561,-0.158526763414634
0.254,-0.163004857317073,-0.15940912195122
0.256,-0.159687229268293,-0.160985675609756
0.258,-0.155780223170732,-0.162100041463415
0.260,-0.151962574390244,-0.16387023902439
0.262,-0.146154348780488,-0.165757353658537
0.264,-0.139868917073171,-0.167059882926829
0.266,-0.135631098780488,-0.167863687804878
0.268,-0.134553107317073,-0.169979156097561
0.270,-0.137136864634146,-0.172286441463415
0.272,-0.13753802195122,-0.172914870731707
0.274,-0.135988528048781,-0.173506763414634
0.276,-0.135169102439024,-0.172986117073171
0.278,-0.136408697560976,-0.171612341463415
0.280,-0.140270074390244,-0.171621475609756
0.282,-0.141222585365854,-0.171524653658537
0.284,-0.140891773170732,-0.171014968292683
0.286,-0.139872719512195,-0.170176453658537
0.288,-0.142074331707317,-0.169065741463415
0.290,-0.145985140243902,-0.168165114634146
0.292,-0.14858981097561,-0.166455202439024
0.294,-0.148804648780488,-0.163740534146341
0.296,-0.14860692195122,-0.161696312195122
0.298,-0.150462512195122,-0.160558197560976
0.300,-0.152173609756098,-0.16014716097561
0.302,-0.152610890243902,-0.16041387804878
0.304,-0.151367492682927,-0.162553095121951
0.306,-0.151799069512195,-0.163205273170732
0.308,-0.154559640243902,-0.162852695121951
0.310,-0.157593986585366,-0.161460651219512
0.312,-0.159668217073171,-0.158992604878049
0.314,-0.157044534146341,-0.156646956097561
0.316,-0.155506447560976,-0.154524180487805
0.318,-0.157063546341463,-0.152814268292683
0.320,-0.158569312195122,-0.150017392682927
0.322,-0.15983172195122,-0.149127726829268
0.324,-0.157266976829268,-0.149904129268293
0.326,-0.157306902439024,-0.152317370731707
0.328,-0.160236681707317,-0.154641097560976
0.330,-0.162622712195122,-0.15580296097561
0.332,-0.164050528048781,-0.156418602439024
0.334,-0.162539058536585,-0.156115348780488
0.336,-0.162544762195122,-0.155810268292683
0.338,-0.163689296341463,-0.154759841463415
0.340,-0.164639906097561,-0.153868348780488
0.342,-0.162974437804878,-0.153826331707317
0.344,-0.159215726829268,-0.154297653658537
0.346,-0.156536908536585,-0.155908917073171
0.348,-0.15524217804878,-0.157052512195122
0.350,-0.153179354878049,-0.157518353658537
0.352,-0.149317978048781,-0.157978714634146
0.354,-0.143093385365854,-0.158722234146341
0.356,-0.139066602439024,-0.159401814634146
0.358,-0.137847920731707,-0.159769007317073
0.360,-0.137868834146341,-0.159807370731707
0.362,-0.136796546341463,-0.158570607317073
0.364,-0.134252714634146,-0.157220580487805
0.366,-0.132897145121951,-0.15623043902439
0.368,-0.133821137804878,-0.155600182926829
0.370,-0.133925704878049,-0.156279763414634
0.372,-0.131186047560976,-0.156340048780488
0.374,-0.127290448780488,-0.156816851219512
0.376,-0.126423492682927,-0.157034243902439
0.378,-0.12994265,-0.156641475609756
0.380,-0.136041762195122,-0.155463170731707
0.382,-0.140378443902439,-0.152876380487805
0.384,-0.143142817073171,-0.149655680487805
0.386,-0.145205640243902,-0.146736407317073
0.388,-0.149009980487805,-0.145044763414634
0.390,-0.15368317804878,-0.141469658536585
0.392,-0.154595763414634,-0.138669129268293
0.394,-0.152808617073171,-0.138185019512195
0.396,-0.150654535365854,-0.139279290243902
0.398,-0.148285615853659,-0.141460524390244
0.400,-0.148848376829268,-0.143945012195122
0.402,-0.150871274390244,-0.145992887804878
0.404,-0.151223,-0.14634363902439
0.406,-0.151654576829268,-0.146124419512195
0.408,-0.151570923170732,-0.144164231707317
0.410,-0.150973940243902,-0.142273463414634
0.412,-0.149097436585366,-0.140938051219512
0.414,-0.14416377195122,-0.139491202439024
0.416,-0.141026759756098,-0.138839024390244
0.418,-0.139973484146341,-0.137770329268293
0.420,-0.138262386585366,-0.136787495121951
0.422,-0.13650756097561,-0.135364395121951
0.424,-0.135134880487805,-0.133950429268293
0.426,-0.135524630487805,-0.132147348780488
0.428,-0.140070446341463,-0.128258029268293
0.430,-0.144859618292683,-0.123833448780488
0.432,-0.146642962195122,-0.120019029268293
0.434,-0.144679002439024,-0.115917797560976
0.436,-0.142127565853659,-0.113725602439024
0.438,-0.142374724390244,-0.112194719512195
0.440,-0.144180882926829,-0.109763209756098
0.442,-0.146110620731707,-0.108636056097561
0.444,-0.145846351219512,-0.109346692682927
0.446,-0.144504090243902,-0.110923246341463
0.448,-0.144521201219512,-0.112899875609756
0.450,-0.146258915853659,-0.114388741463415
0.452,-0.14878943902439,-0.116670451219512
0.454,-0.149004276829268,-0.119777887804878
0.456,-0.147049823170732,-0.124313904878049
0.458,-0.144530707317073,-0.129410758536585
0.460,-0.14120167195122,-0.134889419512195
0.462,-0.13756463902439,-0.139896758536585
0.464,-0.131336243902439,-0.143815307317073
0.466,-0.12587213902439,-0.146166436585366
0.468,-0.122178069512195,-0.147428775609756
0.470,-0.118738763414634,-0.148090087804878
0.472,-0.11625767195122,-0.148175948780488
0.474,-0.113063623170732,-0.1465044
0.476,-0.10958058902439,-0.144330473170732
0.478,-0.109046346341463,-0.142090780487805
0.480,-0.108979803658537,-0.140488651219512
0.482,-0.106348515853659,-0.139122182926829
0.484,-0.100011751219512,-0.137697256097561
0.486,-0.0943670304878049,-0.137191224390244
0.488,-0.0945229304878049,-0.137030463414634
0.490,-0.0963823231707317,-0.136500682926829
0.492,-0.0955191695121951,-0.134858363414634
0.494,-0.0942928829268293,-0.132653380487805
0.496,-0.0944734987804878,-0.130762612195122
0.498,-0.0981504573170732,-0.127242312195122
0.500,-0.104753392682927,-0.12303877804878
0.502,-0.112299332926829,-0.118981390243902
0.504,-0.118166496341463,-0.114582385365854
0.506,-0.123383442682927,-0.110714987804878
0.508,-0.130108056097561,-0.107662356097561
0.510,-0.137404936585366,-0.105205270731707
0.512,-0.142156084146341,-0.103838802439024
0.514,-0.144962284146341,-0.103466129268293
0.516,-0.150975841463415,-0.103095282926829
0.518,-0.158434325609756,-0.101893229268293
0.520,-0.160409692682927,-0.0996754585365854
0.522,-0.158852593902439,-0.0965351390243902
0.524,-0.15599506097561,-0.0932779024390244
0.526,-0.156458958536585,-0.0893410853658537
0.528,-0.162035235365854,-0.0855595487804878
0.530,-0.16474257195122,-0.0820849195121951
0.532,-0.163377496341463,-0.0800498317073171
0.534,-0.155844864634146,-0.0807714292682927
0.536,-0.148855981707317,-0.0833454317073171
0.538,-0.148308430487805,-0.0873936853658537
0.540,-0.145599192682927,-0.0903878585365854
0.542,-0.139971582926829,-0.092638512195122
0.544,-0.130450275609756,-0.0947704219512195
0.546,-0.121586790243902,-0.0980970780487805
0.548,-0.116778606097561,-0.10097616097561
0.550,-0.109211752439024,-0.102222058536585
0.552,-0.103047998780488,-0.102543580487805
0.554,-0.0982550243902439,-0.103531895121951
0.556,-0.096258743902439,-0.105104795121951
0.558,-0.0970420463414634,-0.105879370731707
0.560,-0.093549506097561,-0.106769036585366
0.562,-0.0906957756097561,-0.107421214634146
0.564,-0.0911786853658537,-0.108341936585366
0.566,-0.0931977804878049,-0.109381402439024
0.568,-0.0992075353658537,-0.108751146341463
0.570,-0.10322291097561,-0.106178970731707
0.572,-0.105145043902439,-0.103502665853659
0.574,-0.10830677195122,-0.101801887804878
0.576,-0.112865896341463,-0.100528587804878
0.578,-0.12099551097561,-0.0986232048780488
0.580,-0.126647836585366,-0.0968237780487805
0.582,-0.128957818292683,-0.0955870146341463
0.584,-0.130857136585366,-0.0951577097560976
0.586,-0.131465526829268,-0.0957715243902439
0.588,-0.132433247560976,-0.0963743780487805
0.590,-0.132022584146341,-0.0972037585365854
0.592,-0.128436884146341,-0.0978577634146341
0.594,-0.12298798902439,-0.10120086097561
0.596,-0.116698754878049,-0.104089078048781
0.598,-0.110863912195122,-0.106569912195122
0.600,-0.104916897560976,-0.108849795121951
0.602,-0.100796954878049,-0.110154151219512
0.604,-0.0984280353658537,-0.111716090243902
0.606,-0.097038243902439,-0.113577629268293
0.608,-0.0958765987804878,-0.114763241463415
0.610,-0.0931160280487805,-0.1140727
0.612,-0.0904086914634146,-0.112572873170732
0.614,-0.0862887487804878,-0.11191156097561
0.616,-0.0851233012195122,-0.111990114634146
0.618,-0.08691425,-0.112792092682927
0.620,-0.090412493902439,-0.111738012195122
0.622,-0.0950438646341464,-0.109016036585366
0.624,-0.0993634353658537,-0.104757697560976
0.626,-0.107759220731707,-0.0990342414634146
0.628,-0.118489703658537,-0.092127
0.630,-0.128670734146341,-0.0858006902439024
0.632,-0.138087474390244,-0.0811057390243903
0.634,-0.142045813414634,-0.0772018048780488
0.636,-0.144308264634146,-0.0752069073170732
0.638,-0.147296981707317,-0.0733307536585366
0.640,-0.149108843902439,-0.0722803268292683
0.642,-0.149194398780488,-0.0709650097560976
0.644,-0.146757035365854,-0.0699237170731707
0.646,-0.142542031707317,-0.0711787487804878
0.648,-0.139988693902439,-0.0744250243902439
0.650,-0.138697765853659,-0.0775068853658537
0.652,-0.136731904878049,-0.0797575390243902
0.654,-0.133015020731707,-0.0807878707317073
0.656,-0.127282843902439,-0.0824046146341463
0.658,-0.123674329268293,-0.0841090463414634
0.660,-0.120733142682927,-0.0878924097560976
0.662,-0.116902185365854,-0.0917561536585366
0.664,-0.112358270731707,-0.0963323609756098
0.666,-0.108312475609756,-0.101357968292683
0.668,-0.10719836097561,-0.105190656097561
0.670,-0.105694496341463,-0.107191034146341
0.672,-0.102741902439024,-0.108122717073171
0.674,-0.10010491097561,-0.109934931707317
0.676,-0.0995269402439024,-0.111745319512195
0.678,-0.103044196341463,-0.11308803902439
0.680,-0.106312392682927,-0.112233082926829
0.682,-0.106816215853659,-0.111027375609756
0.684,-0.104430185365854,-0.110135882926829
0.686,-0.103726734146341,-0.109293714634146
0.688,-0.106458786585366,-0.109112858536585
0.690,-0.10973648902439,-0.108376646341463
0.692,-0.109477923170732,-0.107854173170732
0.694,-0.106190714634146,-0.108073392682927
0.696,-0.104224853658537,-0.108952097560976
0.698,-0.104274285365854,-0.109352173170732
0.700,-0.105975876829268,-0.108846141463415
0.702,-0.106006296341463,-0.108961231707317
0.704,-0.10556141097561,-0.109052573170732
0.706,-0.105209685365854,-0.11018886097561
0.708,-0.106160295121951,-0.110775273170732
0.710,-0.107175546341463,-0.110550573170732
0.712,-0.106456885365854,-0.108804124390244
0.714,-0.10550057195122,-0.10666856097561
