"ID番号","PCD-400A"
"タイトル",""
"試験日時","2023/06/27","14:24:25"
"測定CH数",2
"デジタル入力","OFF"
"サンプリング周波数(Hz)",500
"集録データ数/CH",3224
"測定時間(sec)",6.448
"CH名称"
"CH No","CH1","CH2"
"レンジ",1000,1000
"校正係数",0.01559,0.01498
"オフセット",0,0
"単位","m/s2","m/s2"
0.536,-0.15742477804878,-0.11698283902439
0.538,-0.152384645121951,-0.117558290243902
0.540,-0.146958564634146,-0.118528336585366
0.542,-0.14268272195122,-0.119096480487805
0.544,-0.13730417195122,-0.119153112195122
0.546,-0.131222170731707,-0.119819904878049
0.548,-0.125195304878049,-0.121496934146341
0.550,-0.120723636585366,-0.123267131707317
0.552,-0.118926984146341,-0.124445436585366
0.554,-0.117122726829268,-0.125112229268293
0.556,-0.113706235365854,-0.124854646341463
0.558,-0.110915245121951,-0.12546846097561
0.560,-0.110666185365854,-0.128029675609756
0.562,-0.111576869512195,-0.131226626829268
0.564,-0.111175712195122,-0.133367670731707
0.566,-0.109949425609756,-0.135570826829268
0.568,-0.108654695121951,-0.13640386097561
0.570,-0.10872313902439,-0.136623080487805
0.572,-0.111907681707317,-0.136827685365854
0.574,-0.116103673170732,-0.13685326097561
0.576,-0.118252051219512,-0.13655366097561
0.578,-0.119881396341463,-0.136429436585366
0.580,-0.123240851219512,-0.136442224390244
0.582,-0.127128845121951,-0.135274880487805
0.584,-0.130343807317073,-0.132907309756098
0.586,-0.131899004878049,-0.130508682926829
0.588,-0.132016880487805,-0.128725697560976
0.590,-0.132642381707317,-0.127600370731707
0.592,-0.133908593902439,-0.125011753658537
0.594,-0.133573979268293,-0.121794707317073
0.596,-0.13117273902439,-0.119149458536585
0.598,-0.130320992682927,-0.117759241463415
0.600,-0.13176972195122,-0.116107787804878
0.602,-0.133904791463415,-0.114112890243902
0.604,-0.133321117073171,-0.111599173170732
0.606,-0.130347609756098,-0.109441687804878
0.608,-0.127666890243902,-0.107318912195122
0.610,-0.127147857317073,-0.105665631707317
0.612,-0.128041430487805,-0.105713129268293
0.614,-0.127507187804878,-0.108139158536585
0.616,-0.126227667073171,-0.109606102439024
0.618,-0.125805596341463,-0.1095787
0.620,-0.127199190243902,-0.108709129268293
0.622,-0.128457797560976,-0.107486980487805
0.624,-0.130168895121951,-0.106418285365854
0.626,-0.131108097560976,-0.107583802439024
0.628,-0.131737401219512,-0.10911833902439
0.630,-0.133629114634146,-0.109335731707317
0.632,-0.135872553658537,-0.108774895121951
0.634,-0.137541824390244,-0.108584904878049
0.636,-0.138034240243902,-0.108245114634146
0.638,-0.138060857317073,-0.10821953902439
0.640,-0.140040026829268,-0.107901670731707
0.642,-0.142234034146341,-0.106763556097561
0.644,-0.141941246341463,-0.10629406097561
0.646,-0.13778137804878,-0.107227570731707
0.648,-0.133009317073171,-0.108769414634146
0.650,-0.130613780487805,-0.110238185365854
0.652,-0.129781046341463,-0.111325148780488
0.654,-0.128176417073171,-0.112057707317073
0.656,-0.1240964,-0.112545470731707
0.658,-0.120286356097561,-0.112202026829268
0.660,-0.118841429268293,-0.111727051219512
0.662,-0.118799602439024,-0.111221019512195
0.664,-0.11675198902439,-0.111790990243902
0.666,-0.113407743902439,-0.1129492
0.668,-0.111287884146341,-0.114827180487805
0.670,-0.110246015853659,-0.116323353658537
0.672,-0.109829648780488,-0.116789195121951
0.674,-0.10914711097561,-0.117251382926829
0.676,-0.107489247560976,-0.118188546341463
0.678,-0.106118468292683,-0.118811495121951
0.680,-0.105892223170732,-0.118245178048781
0.682,-0.1055443,-0.116736217073171
0.684,-0.105183068292683,-0.115291195121951
0.686,-0.105000551219512,-0.114196924390244
0.688,-0.10618501097561,-0.113882709756098
0.690,-0.108993112195122,-0.115446475609756
0.692,-0.1114685,-0.116893324390244
0.694,-0.112120618292683,-0.117092448780488
0.696,-0.111945706097561,-0.115957987804878
0.698,-0.113350707317073,-0.114812565853659
0.700,-0.116727273170732,-0.113320046341463
0.702,-0.120639982926829,-0.112377402439024
0.704,-0.123246554878049,-0.111752626829268
0.706,-0.124585013414634,-0.111116890243902
0.708,-0.125564141463415,-0.111082180487805
0.710,-0.127729630487805,-0.110181553658537
0.712,-0.130762075609756,-0.108237807317073
0.714,-0.132651887804878,-0.105784375609756
0.716,-0.132087225609756,-0.103250563414634
0.718,-0.131026345121951,-0.102169080487805
0.720,-0.130389436585366,-0.101664875609756
0.722,-0.130859037804878,-0.101100385365854
0.724,-0.130168895121951,-0.0998142975609756
0.726,-0.127121240243902,-0.0982340902439025
0.728,-0.122392907317073,-0.0979892951219512
0.730,-0.120417540243902,-0.0983765829268293
0.732,-0.12133392804878,-0.0981884195121951
0.734,-0.122016465853659,-0.0985008073170732
0.736,-0.120624773170732,-0.0991054878048781
0.738,-0.119529670731707,-0.0999092926829268
0.740,-0.119790137804878,-0.101100385365854
0.742,-0.120847215853659,-0.102459546341463
0.744,-0.121552568292683,-0.104872787804878
0.746,-0.120966992682927,-0.107375543902439
0.748,-0.119881396341463,-0.108997768292683
0.750,-0.120339590243902,-0.109425246341463
0.752,-0.122451845121951,-0.109626197560976
0.754,-0.122573523170732,-0.11099083902439
0.756,-0.121238867073171,-0.112750075609756
0.758,-0.119255895121951,-0.114487390243902
0.760,-0.119459325609756,-0.11596712195122
0.762,-0.121120991463415,-0.117202058536585
0.764,-0.12119513902439,-0.118725634146341
0.766,-0.118335704878049,-0.120302187804878
0.768,-0.114983854878049,-0.121358095121951
0.770,-0.113706235365854,-0.121727114634146
0.772,-0.11352942195122,-0.1216376
0.774,-0.111852546341463,-0.121566353658537
0.776,-0.109031136585366,-0.121694231707317
0.778,-0.1071033,-0.122077865853659
0.780,-0.106624192682927,-0.121913451219512
0.782,-0.107456926829268,-0.119869229268293
0.784,-0.107369470731707,-0.118055187804878
0.786,-0.105464448780488,-0.116697853658537
0.788,-0.105221092682927,-0.115402631707317
0.790,-0.10604622195122,-0.115115819512195
0.792,-0.107327643902439,-0.115705885365854
0.794,-0.10704246097561,-0.115497626829268
0.796,-0.106863746341463,-0.113985012195122
0.798,-0.108291562195122,-0.111924348780488
0.800,-0.112468541463415,-0.111445719512195
0.802,-0.117001048780488,-0.111250248780488
0.804,-0.120113345121951,-0.111284958536585
0.806,-0.121946120731707,-0.112494319512195
0.808,-0.122016465853659,-0.112614890243902
0.810,-0.122716114634146,-0.112021170731707
0.812,-0.125159181707317,-0.110632780487805
0.814,-0.127674495121951,-0.10949283902439
0.816,-0.129309543902439,-0.108837007317073
0.818,-0.131263997560976,-0.108685380487805
0.820,-0.133861063414634,-0.108268863414634
0.822,-0.136309834146341,-0.106874992682927
0.824,-0.137606465853659,-0.105610826829268
0.826,-0.138558976829268,-0.105057297560976
0.828,-0.138806135365854,-0.105048163414634
