"ID番号","PCD-400A"
"タイトル",""
"試験日時","2023/06/27","14:27:30"
"測定CH数",2
"デジタル入力","OFF"
"サンプリング周波数(Hz)",500
"集録データ数/CH",3776
"測定時間(sec)",7.552
"CH名称"
"CH No","CH1","CH2"
"レンジ",1000,1000
"校正係数",0.01559,0.01498
"オフセット",0,0
"単位","m/s2","m/s2"
0.000,-0.108498795121951,-0.0982468780487805
0.002,-0.103711524390244,-0.101668529268293
0.004,-0.0975572768292683,-0.106920663414634
0.006,-0.0920798634146341,-0.111442065853659
0.008,-0.0890816402439024,-0.115040919512195
0.010,-0.0878762670731707,-0.117936443902439
0.012,-0.0860168743902439,-0.118584968292683
0.014,-0.0835662024390244,-0.118310943902439
0.016,-0.0824730012195122,-0.119536746341463
0.018,-0.0841879012195122,-0.120976287804878
0.020,-0.0864902780487805,-0.121504241463415
0.022,-0.0882451036585366,-0.120510446341463
0.024,-0.0895721548780488,-0.119644529268293
0.026,-0.0920551475609756,-0.118756690243902
0.028,-0.0961883987804878,-0.117589346341463
0.030,-0.100964262195122,-0.117065046341463
0.032,-0.10357843902439,-0.115987217073171
0.034,-0.103992904878049,-0.1154209
0.036,-0.105010057317073,-0.114818046341463
0.038,-0.111025515853659,-0.112914490243902
0.040,-0.118379432926829,-0.110601724390244
0.042,-0.122383401219512,-0.10817752195122
0.044,-0.122001256097561,-0.107214782926829
0.046,-0.123134382926829,-0.106851243902439
0.048,-0.130140376829268,-0.105848314634146
0.050,-0.136441018292683,-0.10567293902439
0.052,-0.137022791463415,-0.106531548780488
0.054,-0.136037959756098,-0.107720814634146
0.056,-0.139488673170732,-0.106973641463415
0.058,-0.145694253658537,-0.104825290243902
0.060,-0.147604979268293,-0.102930868292683
0.062,-0.14590528902439,-0.103900914634146
0.064,-0.144505991463415,-0.107806675609756
0.066,-0.147059329268293,-0.110791714634146
0.068,-0.151171667073171,-0.111690514634146
0.070,-0.148819858536585,-0.111566290243902
0.072,-0.139931657317073,-0.112815841463415
0.074,-0.134374392682927,-0.114503831707317
0.076,-0.135492309756098,-0.114872851219512
0.078,-0.137030396341463,-0.113661663414634
0.080,-0.132573937804878,-0.112892568292683
0.082,-0.126877884146341,-0.114269997560976
0.084,-0.12655657804878,-0.116867748780488
0.086,-0.130343807317073,-0.118776785365854
0.088,-0.133556868292683,-0.12046112195122
